ID,Proiect,Categorie,Tip,Fisier,Ce_face,Status,Venit_EUR,Efort_ore,Actualizare
IDEA-001,GUMROAD,PRODUS,plan,descriptions/ + products/,Vinde 5 pachete date CSV pe Gumroad (RO constructii / TED / Norvegia / alimentar / agentii),GATA,900-15000 one-shot,2,2026-04-10
IDEA-002,NORVEGIA,CAMPANIE,date,norway_campaign (PostgreSQL),Relanseaza campanie 335K emailuri Norvegia - plasare muncitori,GATA,5000-30000/plasare,0.2,2026-04-10
IDEA-003,INSOLVENTA,PRODUS,plan,INSOLVENTA/IDEAS.md,Alerte insolventa catre 17K contabili + 1850 auditori - EUR 19/luna abonament,PLANIFICAT,1900-3800/luna,8,2026-03-15
IDEA-004,AGENTII,CAMPANIE,date,recruitment_agencies_campaign.csv,Campanie 18K agentii recrutare UE - parteneriat plasare muncitori,GATA,420000/an,3,2026-04-10
IDEA-005,SEAP FOOD,CAMPANIE,date,seap_food_winners_enriched.csv,Email 3030 castigatori SEAP alimentari - parteneriat cooperativa,GATA,500-5000/contract,2,2026-03-15
IDEA-006,BULGARIA,CAMPANIE,date,bg_ted + bg_companies (PostgreSQL),Campanie 79K contacte Bulgaria - plasare muncitori constructii,GATA,3000-5000/plasare,3,2026-03-15
IDEA-007,ROMANIA DB,DATE,cod,create_romania_db.py (raspibig),FACUT — 8.9M companii dar doar 19K emailuri unice (144K non-null dar 19K distincte). Nevoie imbogatire.,FACUT partial,deblocheaza campanii RO dupa enrichment,10,2026-04-12
IDEA-008,TELEGRAM FOOD,PRODUS,plan,-,Canal @FoodTendersRO - licitatii SEAP zilnice - posturi sponsorizate,PLANIFICAT,50-200/post,1,2026-03-15
IDEA-009,TED CONTACTE,CAMPANIE,date,ted_winners (PostgreSQL),Campanie 13248 contacte TED - ofera muncitori RO la 30-40% economie,GATA,150000+,2,2026-03-15
IDEA-010,POLONIA KRAZ,DATE,scraper,-,Descarca CSV 9175 agentii recrutare poloneze din registru guvernamental,PLANIFICAT,adauga la IDEA-004,0.5,2026-03-15
IDEA-011,COOPERATIVA,PRODUS,cod,scripts/week1_*.py,Cooperativa 140 producatori - export UE legume/fructe,INGHETAT,200000-2000000/an,200,2026-03-15
IDEA-012,TRASABILITATE,PRODUS,cod,PRODUS TRASABIL/backend/app.py,SaaS trasabilitate alimente - FastAPI + CLI,INGHETAT,99-499/luna/client,160,2026-03-15
IDEA-013,CUMPARFERME,PRODUS,plan,-,Brokerage active falimentare - 8663 ferme + 192K companii,INGHETAT,5000-20000/tranzactie,40,2026-03-15
IDEA-014,API CONSTRUCTII,PRODUS,plan,-,API date constructii Romania - 117K companii,INGHETAT,500-5000/luna,40,2026-03-15
IDEA-015,LICITATII SAAS,PRODUS,plan,-,SaaS 5.1M licitatii UE - cautare + alerte,INGHETAT,99-499/luna/client,80,2026-03-15
IDEA-016,PRODUS MONTAN,PRODUS,cod,CODE/*.py + DATA/*.csv,"Catalog 1331 producatori montani - WooCommerce + campanie. Deadline AGRIP: 23 apr 2026",ACTIV,7500-52500/an,20,2026-04-12
IDEA-017,LEO BUZAU,CAMPANIE,date,LEO_BUZAU_FINAL_ENRICHED.csv,34K companii Buzau - inchiriere proprietati cand Leo e gata,INGHETAT,variabil,2,2026-03-15
IDEA-018,DATING SPEEDMATCH,PRODUS,plan,DATING/claude.md,Aplicatie dating - NU se face,UCIS,0,0,2026-03-15
IDEA-019,NEPAL MANPOWER,CAMPANIE,plan,-,Recrutare Nepal - nevoie partener + licenta DOFE,UCIS,0,0,2026-03-15
IDEA-020,CONTRACTE INTERNATIONALE,CAMPANIE,plan,-,Facilitare contracte Saudi/UAE/DE - joc Fortune 500,UCIS,0,0,2026-03-15
IDEA-021,TALL WOMEN STORE,PRODUS,plan,-,Dropshipping - zero pasiune,UCIS,0,0,2026-03-15
IDEA-022,NOTARY SOFTWARE,PRODUS,plan,-,Software notariat - zero clienti,UCIS,0,0,2026-03-15
IDEA-023,TRAINING CONSTRUCTII,PRODUS,plan,-,Training siguranta constructii - prea complex,UCIS,0,0,2026-03-15
IDEA-024,OIPA AGRI-FOOD,PRODUS,plan,-,Platforma agri-food - fuzionat cu COOPERATIVA + PRODUS MONTAN,UCIS,0,0,2026-03-15
