ID,Proiect,Categorie,Tip,Fisier,Ce_face,Status,Venit_EUR,Efort_ore,Actualizare
IDEA-001,GUMROAD DATA PRODUCTS,PRODUS,plan,descriptions/ + products/,"Produse date CSV/PDF pe Gumroad one-time: firme constructii RO, castigatori TED pe tara+sector, date insolventa, ferme la vanzare, bundle toate. Pret EUR 29-199/dataset. Venit pasiv post-publicare.",GATA,900-15000 one-shot,8,2026-04-18
IDEA-002,NORVEGIA RECRUITMENT,CAMPANIE,date,norway_campaign (PostgreSQL),Recrutare Norway multi-canal: email outreach 335K+ contacte norvegiene (agentii + angajatori directi constructii/oil/maritim) + organizare job fair (sponsorizare EUR 500-2000) + comision plasare EUR 500-1000/muncitor.,GATA,5000-30000/plasare,5,2026-04-18
IDEA-003,INSOLVENTA ALERTS & ASSETS,PRODUS,plan,INSOLVENTA/IDEAS.md,"Monetizare DB insolventa: 770K companii monitorizate + 222K falimentare. Dual model: abonament alerte EUR 19-99/luna (contabili/auditori/furnizori) + lead sales EUR 5-20/lead (colectori creante, investitori active falimentare, proprietati BPI).",PLANIFICAT,1900-3800/luna,8,2026-04-18
IDEA-004,AGENTII RECRUTARE PLATFORM,CAMPANIE,date,recruitment_agencies_campaign.csv,Enablement agentii recrutare: DB + campanii + unelte white-label pentru 18K+ agentii UE. Muncitori RO plasati in UE/international. Monetizare: EUR 420K+/an plasari + EUR 2K-10K/luna broker leads + EUR 200-500/luna catalog white-label + licenta franciza EUR 500-2000/luna.,GATA,420000/an,40,2026-04-18
IDEA-005,HORECA FOOD DISTRIBUTION,CAMPANIE,date,seap_food_winners_enriched.csv,Campanii B2B distributie alimentara: 28K+ contacte HORECA + 3030 castigatori SEAP alimentari + Freskon exhibitors. Email + WhatsApp outreach. Monetizare: EUR 500-5000/contract plasare sau comision broker.,GATA,500-5000/contract,20,2026-04-18
IDEA-006,BULGARIA ALUMINUM CAMPAIGNS,CAMPANIE,date,bg_ted + bg_companies (PostgreSQL),Campanii recrutare sectoare specifice: 79K contacte Bulgaria constructii + 611 companii reciclare aluminiu. Comision plasare muncitori EUR 3000-5000. Acelasi model DB→campanie ca Norvegia.,GATA,3000-5000/plasare,5,2026-04-18
IDEA-007,ROMANIA DB,DATE,cod,create_romania_db.py (raspibig),FACUT — 8.9M companii dar doar 19K emailuri unice (144K non-null dar 19K distincte). Nevoie imbogatire.,FACUT partial,deblocheaza campanii RO dupa enrichment,10,2026-04-12
IDEA-008,TELEGRAM LICITATII CHANNELS,PRODUS,plan,-,"Canale Telegram cu alerte automate licitatii/tender: @FoodTendersRO (SEAP alimentar), @TenderAlerts (5.1M EU tenders cu filtre), @InsolvencyRO. Tier premium EUR 5-49/luna + bot versiune.",PLANIFICAT,50-200/post,8,2026-04-18
IDEA-009,TED EU TENDER INTELLIGENCE,CAMPANIE,date,ted_winners (PostgreSQL),Produse date licitatii EU: campanii email 13K+ castigatori TED + API/dashboard 5.1M tenders + newsletter saptamanal top CPV. Monetizare: per plasare + abonament API EUR 99-499/luna + spatiu reclama newsletter.,GATA,150000+,80,2026-04-18
IDEA-010,POLONIA KRAZ,DATE,scraper,-,Descarca CSV 9175 agentii recrutare poloneze din registru guvernamental,PLANIFICAT,adauga la IDEA-004,0.5,2026-03-15
IDEA-011,COOPERATIVA AGRICOLA,PRODUS,cod,scripts/week1_*.py,"Cooperativa 140+ producatori montani: export EU legume/fructe + plasare sezoniera muncitori (EUR 200-500/plasare, Jun-Sep) + registru digital membri (CUI ANAF validat) + outreach 30K HORECA EU. Taxa membru EUR 50-200/an + 5% comision vanzari.",INGHETAT,200000-2000000/an,200,2026-04-18
IDEA-012,TRASABILITATE,PRODUS,cod,PRODUS TRASABIL/backend/app.py,SaaS trasabilitate alimente - FastAPI + CLI,INGHETAT,99-499/luna/client,160,2026-03-15
IDEA-013,CUMPARFERME,PRODUS,plan,-,Brokerage active falimentare - 8663 ferme + 192K companii,INGHETAT,5000-20000/tranzactie,40,2026-03-15
IDEA-014,COMPANY DATA API DASHBOARD,PRODUS,plan,-,"Date companii live: 117K+ firme RO + 5.1M EU tenders + insolventa + contracte SEAP. Acces: CSV one-time vs dashboard abonament vs REST API vs bundle RapidAPI (ANAF+email+company+CV+insolventa). EUR 500-5000/luna dashboard, EUR 99-499/luna API, EUR 0.01-0.50/call.",INGHETAT,500-5000/luna,40,2026-04-18
IDEA-015,LICITATII SAAS,PRODUS,plan,-,→ contopita in IDEA-009,MERGED,,80,2026-04-18
IDEA-016,PRODUS MONTAN,PRODUS,cod,CODE/*.py + DATA/*.csv,Catalog 1331 producatori montani - WooCommerce + campanie. Deadline AGRIP: 23 apr 2026,ACTIV,7500-52500/an,20,2026-04-12
IDEA-017,LEO BUZAU,CAMPANIE,date,LEO_BUZAU_FINAL_ENRICHED.csv,34K companii Buzau - inchiriere proprietati cand Leo e gata,INGHETAT,variabil,2,2026-03-15
IDEA-018,DATING SPEEDMATCH,PRODUS,plan,DATING/claude.md,Aplicatie dating - NU se face,UCIS,0,0,2026-03-15
IDEA-019,NEPAL MANPOWER,CAMPANIE,plan,-,Recrutare Nepal - nevoie partener + licenta DOFE,UCIS,0,0,2026-03-15
IDEA-020,CONTRACTE INTERNATIONALE,CAMPANIE,plan,-,Facilitare contracte Saudi/UAE/DE - joc Fortune 500,UCIS,0,0,2026-03-15
IDEA-021,TALL WOMEN STORE,PRODUS,plan,-,Dropshipping - zero pasiune,UCIS,0,0,2026-03-15
IDEA-022,NOTARY SOFTWARE,PRODUS,plan,-,Software notariat - zero clienti,UCIS,0,0,2026-03-15
IDEA-023,TRAINING CONSTRUCTII,PRODUS,plan,-,Training siguranta constructii - prea complex,UCIS,0,0,2026-03-15
IDEA-024,OIPA AGRI-FOOD,PRODUS,plan,-,Platforma agri-food - fuzionat cu COOPERATIVA + PRODUS MONTAN,UCIS,0,0,2026-03-15
IDEA-025,ASOCIATII,DATE,cod,ASOC PROP/*.py,"Registru 90K+ ONG-uri Romania - 42 judete, 49 CSV-uri",INGHETAT,neclar,4,2026-04-12
IDEA-026,CHINA TRADE,CERCETARE,scraper,scrapers/*.py,"3 scrapere (Made-in-China, NBS API, UN Comtrade) + 8 CSV-uri indicatori",CERCETARE,neclar,10,2026-03-22
